Source	Type	Target	Oriented	Weight
P31946	pd	P49674	true	0.505993
P09603	pd	P08138	true	0.536564
Q92569	pd	P49841	true	0.75
P09544	pd	Q9UP38	true	0.85
P26232	pd	P63104	true	0.536564
Q16584	pd	O14733	true	0.75
P01116	pd	Q99759	true	0.75
P01106	pd	O96020	true	0.426525
P01106	pd	P08575	true	0.426525
P01106	pd	P08579	true	0.426525
P14778	pd	P19838	true	0.75
P35609	pd	P60709	true	0.75
P42575	pd	Q12933	true	0.426525
P22612	pd	P09471	true	0.75
P24385	pd	O75182	true	0.426525
P07948	pd	Q05397	true	0.85
O75084	pd	Q15147	true	0.656746
P40189	pd	O00459	true	0.536564
P01106	pd	Q96EY1	true	0.75
P01106	pd	P08567	true	0.426525
P40424	pd	P55072	true	0.426525
Q9NR80	pd	P15153	true	0.536564
P01100	pd	P29459	true	0.426525
P25054	pd	P31350	true	0.426525
Q9BZ29	pd	P61586	true	0.426525
O75925	pd	Q05516	true	0.426525
P01100	pd	P29460	true	0.426525
P42684	pd	P30876	true	0.426525
P43405	pd	P42338	true	0.75
P04626	pd	O00459	true	0.75
P48736	pd	P16885	true	0.75
Q7LDG7	pd	P01112	true	0.536564
O60602	pd	Q99836	true	0.75
P05556	pd	P51817	true	0.536564
Q15796	pd	Q8WYQ5	true	0.426525
P50591	pd	O43521	true	0.426525
P00533	pd	P35568	true	0.75
P63215	pd	Q15147	true	0.536564
Q99704	pd	Q04759	true	0.75
Q9Y5W5	pd	P04628	true	0.75
Q9Y6K9	pd	P25963	true	0.85
P01106	pd	Q9H9S3	true	0.426525
P01116	pd	Q02750	true	0.75
P30304	pd	P50613	true	0.426525
P30968	pd	P29992	true	0.75
O00329	pd	P16885	true	0.75
Q13263	pd	Q9BZK7	true	0.426525
P22612	pd	Q05397	true	0.75
Q8N474	pd	Q9Y6F9	true	0.75
P01106	pd	Q92979	true	0.426525
P63215	pd	O00329	true	0.536564
P19320	pd	P48736	true	0.656746
P06756	pd	Q00722	true	0.75
Q9Y265	pd	P62805	true	0.426525
P50151	pd	P42338	true	0.536564
P23511	pd	Q01094	true	0.426525
P01106	pd	Q9H8W4	true	0.426525
Q00005	pd	P51617	true	0.75
O75914	pd	P04049	true	0.521588
P15056	pd	Q02750	true	0.75
P62879	pd	O00329	true	0.536564
Q13485	pd	Q15329	true	0.85
Q9BPZ7	pd	Q9Y243	true	0.426525
Q16787	pd	Q9UKX5	true	0.536564
Q6FHJ7	pd	O00755	true	0.85
Q7Z3G6	pd	Q9ULK5	true	0.75
Q6FHJ7	pd	O00744	true	0.75
O14807	pd	Q92569	true	0.536564
P06213	pd	P48736	true	0.75
P04004	pd	Q13797	true	0.536564
O95813	pd	P41221	true	0.75
O15264	pd	Q16082	true	0.75
O43524	pd	P48023	true	0.426525
P14598	pd	O15264	true	0.536564
O15230	pd	P05106	true	0.536564
Q9Y243	pd	P04049	true	0.75
Q13315	pd	Q92945	true	0.426525
Q15172	pd	Q7Z3S7	true	0.75
406955	pd	Q13315	true	0.426525
P08069	pd	P16885	true	0.75
P24723	pd	P04049	true	0.75
P01375	pd	O15105	true	0.75
P48730	pd	P49841	true	0.505993
O00463	pd	Q92569	true	0.75
P49841	pd	Q13233	true	0.426525
O75197	pd	P49841	true	0.426525
Q9H1J5	pd	Q9UP38	true	0.75
P45983	pd	P17535	true	0.85
Q15796	pd	P28749	true	0.536564
P14778	pd	Q15628	true	0.75
Q9HAU4	pd	Q8NER5	true	0.426525
P06401	pd	P27986	true	0.536564
P10275	pd	P27986	true	0.85
P27695	pd	P27540	true	0.426525
P01106	pd	P31040	true	0.426525
P30304	pd	P50750	true	0.426525
P56705	pd	Q9ULV1	true	0.75
P84022	pd	Q15797	true	0.75
P62745	pd	Q13153	true	0.426525
Q9UM11	pd	O14965	true	0.426525
P08754	pd	O00459	true	0.75
P01106	pd	P55060	true	0.75
P30153	pd	P51617	true	0.75
Q9NP95	pd	P08069	true	0.536564
P08581	pd	Q00722	true	0.536564
P43628	pd	P29350	true	0.75
Q16787	pd	P26006	true	0.536564
Q16828	pd	Q16659	true	0.426525
O95644	pd	P01375	true	0.75
P09471	pd	O00329	true	0.75
Q16787	pd	P26010	true	0.536564
Q16787	pd	P26012	true	0.536564
P62879	pd	Q15147	true	0.536564
Q16576	pd	P01106	true	0.426525
P15153	pd	Q04206	true	0.536564
P45983	pd	Q9Y4H2	true	0.75
P18827	pd	P27361	true	0.75
Q13555	pd	P42224	true	0.75
P04899	pd	Q00722	true	0.75
P29317	pd	Q00722	true	0.536564
P62140	pd	P46019	true	0.75
P28482	pd	P01106	true	0.75
P22681	pd	Q8WYR1	true	0.536564
Q9HAV0	pd	Q16539	true	0.536564
Q9UGJ0	pd	P49815	true	0.75
P07996	pd	Q13797	true	0.536564
P63000	pd	P28482	true	0.75
P22004	pd	Q13873	true	0.75
Q155Q3	pd	Q92997	true	0.426525
P45983	pd	P05412	true	0.85
P30559	pd	P50148	true	0.536564
Q9UBI6	pd	O00459	true	0.536564
P46108	pd	P48736	true	0.536564
P29400	pd	P08514	true	0.536564
P01106	pd	Q9H9Y6	true	0.426525
Q9UNA1	pd	P61586	true	0.426525
P51617	pd	Q9H0E2	true	0.85
Q93098	pd	O75197	true	0.75
Q9BSJ2	pd	Q13748	true	0.426525
P28482	pd	P40763	true	0.85
Q9UD71	pd	P62136	true	0.85
P45983	pd	O95644	true	0.75
P84243	pd	Q86U86	true	0.426525
Q01484	pd	Q14643	true	0.536564
P04004	pd	Q13683	true	0.536564
Q13535	pd	Q6ZW49	true	0.426525
P08581	pd	P16885	true	0.426525
P35916	pd	Q92569	true	0.536564
O14640	pd	P49841	true	0.85
Q9UK08	pd	Q92569	true	0.536564
Q13547	pd	P08151	true	0.426525
P27361	pd	P01375	true	0.656746
P31947	pd	P06493	true	0.75
P13224	pd	O00329	true	0.536564
P01106	pd	Q16587	true	0.426525
P01111	pd	Q04206	true	0.426525
P30305	pd	P06493	true	0.75
P63151	pd	Q9Y243	true	0.75
Q05397	pd	Q16539	true	0.536564
Q13546	pd	Q9Y6K9	true	0.85
P28482	pd	P27708	true	0.426525
Q9NP95	pd	P08138	true	0.536564
Q15717	pd	P38398	true	0.426525
O00238	pd	Q15797	true	0.75
O15530	pd	P31751	true	0.75
O60346	pd	P31749	true	0.75
P63218	pd	Q8WYR1	true	0.536564
