Source	Type	Target	Oriented	Weight
P31946	pd	P49674	true	0.505993
P22612	pd	O75582	true	0.75
Q9Y219	pd	Q04721	true	0.85
P09603	pd	P08138	true	0.536564
P05771	pd	Q05586	true	0.656746
Q92569	pd	P49841	true	0.75
P09544	pd	Q9UP38	true	0.85
P26232	pd	P63104	true	0.536564
P42336	pd	Q08881	true	0.536564
Q16584	pd	O14733	true	0.75
P31371	pd	P06213	true	0.536564
Q01094	pd	P26358	true	0.426525
P06493	pd	P19784	true	0.75
P10721	pd	Q01970	true	0.536564
P01116	pd	Q99759	true	0.75
P22681	pd	P16871	true	0.75
P01106	pd	O96020	true	0.426525
P01106	pd	P08575	true	0.426525
P35813	pd	P52564	true	0.75
P01106	pd	P08579	true	0.426525
P14778	pd	P19838	true	0.75
Q92841	pd	Q00987	true	0.426525
P42575	pd	Q12933	true	0.426525
P22612	pd	P09471	true	0.75
P24385	pd	O75182	true	0.426525
P07948	pd	Q05397	true	0.85
O75084	pd	Q15147	true	0.656746
P40189	pd	O00459	true	0.536564
P01106	pd	Q96EY1	true	0.75
P07333	pd	Q9NQ66	true	0.536564
P01106	pd	P08567	true	0.426525
P61024	pd	Q13309	true	0.75
P67775	pd	Q05513	true	0.75
Q99570	pd	P31751	true	0.426525
P35626	pd	P07550	true	0.521588
O15520	pd	P35916	true	0.536564
Q9NR80	pd	P15153	true	0.536564
Q15256	pd	P45984	true	0.75
Q15256	pd	P45983	true	0.75
P61952	pd	P53778	true	0.536564
P61952	pd	P53779	true	0.536564
P01100	pd	P29459	true	0.426525
P25054	pd	P31350	true	0.426525
Q9BZ29	pd	P61586	true	0.426525
Q99570	pd	P31749	true	0.426525
Q9P212	pd	Q05655	true	0.426525
P01100	pd	P29460	true	0.426525
406884	pd	P24385	true	0.426525
P42684	pd	P30876	true	0.426525
P43405	pd	P42338	true	0.75
P43405	pd	P42336	true	0.75
Q00987	pd	P07333	true	0.723012
P04626	pd	O00459	true	0.75
P48736	pd	P16885	true	0.75
Q7LDG7	pd	P01112	true	0.536564
O60602	pd	Q99836	true	0.75
P05556	pd	P51817	true	0.536564
P42336	pd	P50993	true	0.75
Q8N2W9	pd	Q05516	true	0.426525
Q9HCE7	pd	P04629	true	0.723012
P00533	pd	P35568	true	0.75
P63215	pd	Q15147	true	0.536564
Q99704	pd	Q04759	true	0.75
Q9Y5W5	pd	P04628	true	0.75
P01106	pd	Q9H9S3	true	0.426525
P30968	pd	P29992	true	0.75
P01100	pd	Q9Y259	true	0.75
O15520	pd	P35968	true	0.536564
Q9Y4K3	pd	P22607	true	0.723012
P29350	pd	P53779	true	0.426525
Q8WYR1	pd	P13637	true	0.75
O14920	pd	Q99704	true	0.85
O00329	pd	P16885	true	0.75
Q13263	pd	Q9BZK7	true	0.426525
P36873	pd	O14965	true	0.426525
P22612	pd	Q05397	true	0.75
P01563	pd	P16871	true	0.536564
Q8N474	pd	Q9Y6F9	true	0.75
P01106	pd	Q92979	true	0.426525
P60953	pd	Q8TEW0	true	0.75
P19320	pd	P48736	true	0.656746
Q9NRH3	pd	Q13748	true	0.426525
P06756	pd	Q00722	true	0.75
Q9Y265	pd	P62805	true	0.426525
P50151	pd	P42338	true	0.536564
P50151	pd	P42336	true	0.536564
P23511	pd	Q01094	true	0.426525
P01106	pd	Q9H8W4	true	0.426525
Q00005	pd	P51617	true	0.75
O75914	pd	P04049	true	0.521588
Q13485	pd	Q15329	true	0.85
Q9BPZ7	pd	Q9Y243	true	0.426525
Q16787	pd	Q9UKX5	true	0.536564
Q6FHJ7	pd	O00755	true	0.85
P08253	pd	P15692	true	0.505993
P45984	pd	P23219	true	0.426525
Q6FHJ7	pd	O00744	true	0.75
P22612	pd	O14610	true	0.75
Q13237	pd	Q00722	true	0.75
P17612	pd	Q05586	true	0.75
Q9Y6W8	pd	P48736	true	0.536564
O14807	pd	Q92569	true	0.536564
P68400	pd	P78527	true	0.426525
P06213	pd	P48736	true	0.75
P20827	pd	P08581	true	0.536564
A8MTJ3	pd	Q00722	true	0.536564
O95813	pd	P41221	true	0.75
Q13555	pd	P54289	true	0.75
406886	pd	P52926	true	0.426525
P42336	pd	P23443	true	0.85
P31371	pd	P21802	true	0.75
P08069	pd	P04899	true	0.536564
O15264	pd	Q16082	true	0.75
P10747	pd	P48736	true	0.75
P31749	pd	O14920	true	0.85
O43524	pd	P48023	true	0.426525
Q9UQB8	pd	Q8N8S7	true	0.536564
P04629	pd	Q9ULH0	true	0.75
P14598	pd	O15264	true	0.536564
Q9Y243	pd	P04049	true	0.75
Q13315	pd	Q92945	true	0.426525
Q15172	pd	Q7Z3S7	true	0.75
P41235	pd	Q12955	true	0.426525
406955	pd	Q13315	true	0.426525
P08069	pd	P16885	true	0.75
P24723	pd	P04049	true	0.75
P01375	pd	O15105	true	0.75
P38484	pd	P19838	true	0.75
P49792	pd	Q9NQB0	true	0.426525
Q9UM11	pd	O75943	true	0.75
Q66LE6	pd	P46937	true	0.75
P04637	pd	O15492	true	0.426525
P48730	pd	P49841	true	0.505993
Q9BVC4	pd	Q13541	true	0.75
O00463	pd	Q92569	true	0.75
O75197	pd	P49841	true	0.426525
Q9H1J5	pd	Q9UP38	true	0.75
P45983	pd	P17535	true	0.85
P49841	pd	Q13224	true	0.75
P14778	pd	Q15628	true	0.75
P11142	pd	P45984	true	0.505993
P11142	pd	P45983	true	0.75
Q92934	pd	P99999	true	0.75
P10275	pd	P27986	true	0.85
P27695	pd	P27540	true	0.426525
Q9GZV9	pd	P06213	true	0.536564
P01106	pd	P31040	true	0.426525
P21917	pd	P63215	true	0.536564
P21917	pd	P63218	true	0.536564
P12931	pd	Q9Y2X7	true	0.85
P06239	pd	P43403	true	0.85
P06239	pd	P43405	true	0.85
P56705	pd	Q9ULV1	true	0.75
P17066	pd	P45983	true	0.505993
Q13522	pd	O14965	true	0.426525
P84022	pd	Q15797	true	0.75
P17066	pd	P45984	true	0.505993
P05771	pd	O14920	true	0.85
Q96BI3	pd	P46531	true	0.85
P25098	pd	P07550	true	0.521588
P09038	pd	P22455	true	0.75
P04626	pd	P19174	true	0.75
P62745	pd	Q13153	true	0.426525
Q9UM11	pd	O14965	true	0.426525
P52333	pd	P42224	true	0.75
Q9GZV9	pd	P21802	true	0.536564
P08754	pd	O00459	true	0.75
Q16690	pd	P53778	true	0.75
Q16690	pd	P53779	true	0.75
