Source	Type	Target	Oriented	Weight
Q13315	pd	P04637	true	0.75
P21917	pd	P09471	true	0.536564
P62070	pd	O00329	true	0.85
P00519	pd	Q92529	true	0.75
Q16531	pd	P62805	true	0.426525
Q15717	pd	P38936	true	0.75
114614	pd	P61586	true	0.426525
Q9H1J7	pd	Q13467	true	0.75
O43524	pd	P38936	true	0.426525
Q04759	pd	P04049	true	0.75
Q9HCT0	pd	P08138	true	0.536564
P04626	pd	P27361	true	0.656746
P08069	pd	P28482	true	0.75
O95685	pd	P62158	true	0.75
P19784	pd	P51610	true	0.75
P36897	pd	Q13485	true	0.75
P60484	pd	P42338	true	0.505993
P01106	pd	P43405	true	0.426525
Q9NW38	pd	Q9NVI1	true	0.75
P80098	pd	O00574	true	0.75
Q05513	pd	P31749	true	0.75
O14640	pd	P60763	true	0.656746
Q13535	pd	Q9UQE7	true	0.426525
O14775	pd	P28482	true	0.75
Q05513	pd	P31751	true	0.75
P11802	pd	Q16254	true	0.426525
P01106	pd	Q14289	true	0.426525
Q07157	pd	P63261	true	0.75
Q9UBK5	pd	O00459	true	0.536564
Q07157	pd	P63267	true	0.426525
P49763	pd	P08069	true	0.536564
Q9UP38	pd	Q92997	true	0.75
Q9Y4H2	pd	P42338	true	0.536564
Q13315	pd	Q99959	true	0.426525
Q12778	pd	O95067	true	0.426525
Q9UKB1	pd	O15534	true	0.75
Q16659	pd	P40763	true	0.426525
Q14790	pd	Q99558	true	0.85
Q12778	pd	O00744	true	0.426525
Q01094	pd	Q9UBU7	true	0.426525
Q9BVC4	pd	P05129	true	0.75
Q13145	pd	O00144	true	0.75
Q14416	pd	P09471	true	0.536564
P27361	pd	P05412	true	0.85
P09603	pd	P16234	true	0.536564
P61812	pd	Q04771	true	0.426525
P01106	pd	P43490	true	0.426525
P60763	pd	Q13233	true	0.536564
Q92765	pd	Q9H1J7	true	0.426525
Q92765	pd	Q9H1J5	true	0.426525
P41240	pd	P12931	true	0.75
P41279	pd	P19838	true	0.85
Q12933	pd	O43318	true	0.85
P08123	pd	P23229	true	0.536564
P31749	pd	P38936	true	0.75
P21802	pd	Q00722	true	0.536564
P07948	pd	O00329	true	0.75
P04628	pd	O60353	true	0.75
O14929	pd	Q16695	true	0.85
O14905	pd	Q9H461	true	0.75
P50151	pd	P27986	true	0.536564
Q15303	pd	Q8WYR1	true	0.536564
P01106	pd	Q9NQG6	true	0.426525
P49763	pd	P08138	true	0.536564
Q9UNE7	pd	P18887	true	0.426525
P40763	pd	P08238	true	0.426525
P07947	pd	P06241	true	0.75
P15036	pd	P42771	true	0.426525
Q12824	pd	O00716	true	0.426525
O14640	pd	Q04206	true	0.426525
P21802	pd	P16885	true	0.426525
Q15052	pd	P60763	true	0.536564
P22607	pd	P46108	true	0.536564
P25208	pd	P06493	true	0.426525
Q01094	pd	P06493	true	0.426525
Q13616	pd	P84022	true	0.85
P08138	pd	P62993	true	0.536564
P01106	pd	Q96KJ9	true	0.426525
P42261	pd	Q05586	true	0.75
P25440	pd	P62805	true	0.75
Q13753	pd	P53708	true	0.536564
P07942	pd	P08648	true	0.536564
Q8N752	pd	O75581	true	0.426525
P60484	pd	Q9Y243	true	0.505993
P17948	pd	P27986	true	0.75
Q15906	pd	P16104	true	0.426525
P22607	pd	P48736	true	0.536564
P56199	pd	P46108	true	0.536564
P62070	pd	O00459	true	0.536564
Q06787	pd	Q13153	true	0.426525
Q9HAU4	pd	P35968	true	0.723012
Q14192	pd	Q12933	true	0.505993
Q13202	pd	O15264	true	0.75
P05771	pd	P12931	true	0.75
P04637	pd	Q9NQ88	true	0.426525
P01135	pd	P16234	true	0.536564
Q5TCQ9	pd	Q9Y4G8	true	0.536564
Q16254	pd	P03372	true	0.426525
P01106	pd	407046	true	0.426525
Q9HCE7	pd	P16234	true	0.723012
P54652	pd	Q99683	true	0.426525
Q15118	pd	Q13153	true	0.426525
Q15303	pd	P16885	true	0.536564
P01106	pd	O60343	true	0.426525
Q13485	pd	P30968	true	0.426525
O15105	pd	P84022	true	0.75
Q9UBK5	pd	O00329	true	0.536564
Q13315	pd	O43164	true	0.426525
P78509	pd	P05106	true	0.536564
Q01094	pd	Q14207	true	0.426525
P04637	pd	407040	true	0.426525
P35221	pd	P61981	true	0.536564
P55075	pd	P08069	true	0.536564
P01106	pd	O60315	true	0.426525
Q96N67	pd	P60763	true	0.426525
O14775	pd	Q9NQ66	true	0.536564
Q13233	pd	Q02750	true	0.85
Q9NZJ5	pd	O14733	true	0.75
Q9HAV0	pd	Q8WYR1	true	0.536564
P63267	pd	P35221	true	0.426525
P21860	pd	P62993	true	0.75
P09471	pd	P12931	true	0.75
P60763	pd	Q13153	true	0.75
Q12933	pd	Q8WYR1	true	0.75
Q15257	pd	O43521	true	0.426525
Q9HCE7	pd	Q96MT3	true	0.426525
P25054	pd	P06746	true	0.426525
O43353	pd	Q9Y4K3	true	0.75
Q13145	pd	O14641	true	0.536564
Q13145	pd	O14640	true	0.536564
P63096	pd	P27361	true	0.75
406913	pd	O00459	true	0.426525
Q9Y243	pd	Q99683	true	0.75
Q6ZSY5	pd	P54840	true	0.75
Q13315	pd	P53350	true	0.426525
P62136	pd	Q13555	true	0.505993
P62136	pd	Q13557	true	0.505993
P68400	pd	P62805	true	0.426525
P30968	pd	P35625	true	0.426525
P62136	pd	Q13554	true	0.505993
P22612	pd	Q9NZT1	true	0.75
P01106	pd	Q04637	true	0.426525
P49841	pd	Q01974	true	0.85
P01106	pd	Q16612	true	0.426525
P12956	pd	P25963	true	0.426525
P12956	pd	P49917	true	0.426525
Q13315	pd	Q9NVI1	true	0.426525
407053	pd	Q12778	true	0.426525
Q96BY6	pd	P61586	true	0.426525
P62873	pd	Q9NQ66	true	0.536564
Q96JB5	pd	P06493	true	0.426525
P25054	pd	Q9NR80	true	0.536564
Q9Y243	pd	P16220	true	0.75
